std_smiles,CHEMBL1075317.csv,CHEMBL1163125.csv,CHEMBL1795116.csv,CHEMBL1829.csv,CHEMBL1865.csv,CHEMBL1937.csv,CHEMBL1993.csv,CHEMBL2157850.csv,CHEMBL2169716.csv,CHEMBL2185.csv,CHEMBL2189110.csv,CHEMBL2424504.csv,CHEMBL2563.csv,CHEMBL2971.csv,CHEMBL301.csv,CHEMBL3045.csv,CHEMBL3055.csv,CHEMBL308.csv,CHEMBL3105.csv,CHEMBL3142.csv,CHEMBL3192.csv,CHEMBL325.csv,CHEMBL3524.csv,CHEMBL3774295.csv,CHEMBL4036.csv,CHEMBL4145.csv,CHEMBL4630.csv,CHEMBL4722.csv,CHEMBL5024.csv,CHEMBL5406.csv,CHEMBL5747.csv,CHEMBL5776.csv,CHEMBL5921.csv,CHEMBL6032.csv,CHEMBL6136.csv,CHEMBL6175.csv
Cc1cncc(NC(=O)c2c(N)nn3cc(F)cnc23)c1N1CCC(C(=O)N2CCNCC2)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
CN1CCC[C@@H](COc2cc(-c3ccc(C#N)cc3)c(-c3ccc(CN(C)C(=O)N(C)C)c(F)c3)n3cncc23)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC(=O)Nc1ccc(CNc2ncc3c(n2)-c2c(c(C(N)=O)cn2C)CC3)cc1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
CCc1ccccc1NC(=O)c1c(C)nsc1Nc1nc(C(=O)OC)co1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCCCCC(O)=NO,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
CC(C)c1c(-c2ccc(N3CCOCC3)cc2)[nH]c2ncnn2c1=O,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
CCC(CC)n1cc(-c2nc(-c3cnn(CC4CC(O)C4)c3)cn3nccc23)cn1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CCOc1nc(O[C@H]2C[C@@H](n3ccc4c(C)ncnc43)[C@H](O)[C@@H]2O)c2c(c1F)CCNC2,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCC(Nc2cc(C(=O)NC[C@H](O)CN3Cc4ccccc4C3)ccn2)CC1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn1ncc2ccc(OCC(=O)NC[C@@H](O)CN3CCc4ccccc4C3)cc21,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
